,Sentence,Score,Total_Words,Total_Characters,Lemmed_Words,Lemmed_Characters
0,so there is no way for me to plug it in here in the us unless i go by a converter,0,21,82,21,81
1,good case excellent value,1,4,27,4,25
2,great for the jawbone,1,4,22,4,21
3,tied to charger for conversations lasting more than 45 minutesmajor problems,0,11,79,11,76
4,the mic is great,1,4,17,4,16
5,i have to jiggle the plug to get it to line up right to get decent volume,0,17,74,17,73
6,if you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one,0,21,111,21,109
7,if you are razr owneryou must have this,1,8,43,8,39
8,needless to say i wasted my money,0,7,35,7,33
9,what a waste of money and time,0,7,32,7,30
10,and the sound quality is great,1,6,31,6,30
11,he was very impressed when going from the original battery to the extended battery,1,14,83,14,82
12,if the two were seperated by a mere 5 ft i started to notice excessive static and garbled sound from the headset,0,22,114,22,112
13,very good quality though,1,4,24,4,24
14,the design is very odd as the ear clip is not very comfortable at all,0,15,73,15,69
15,highly recommend for any one who has a blue tooth phone,1,11,56,11,55
16,i advise everyone do not be fooled,0,7,35,7,34
17,so far so good,1,4,16,4,14
18,works great,1,2,13,2,11
19,it clicks into place in a way that makes you wonder how long that mechanism would last,0,17,87,17,86
20,i went on motorolas website and followed all directions but could not get it to pair again,0,17,93,17,90
21,i bought this to use with my kindle fire and absolutely loved it,1,13,65,13,64
22,the commercials are the most misleading,0,6,40,6,39
23,i have yet to run this new battery below two bars and thats three days without charging,1,17,89,17,87
24,i bought it for my mother and she had a problem with the battery,0,14,65,14,64
25,great pocket pc  phone combination,1,6,36,5,34
26,ive owned this phone for 7 months now and can say that its the best mobile phone ive had,1,19,92,19,88
27,i didnt think that the instructions provided were helpful to me,0,11,65,11,63
28,people couldnt hear me talk and i had to pull out the earphone and talk on the phone,0,18,85,18,84
29,doesnt hold charge,0,3,20,3,18
30,this is a simple little phone to use but the breakage is unacceptible,0,13,71,13,69
31,this product is ideal for people like me whose ears are very sensitive,1,13,71,13,70
32,it is unusable in a moving car at freeway speed,0,10,48,10,47
33,i have two more years left in this contract and i hate this phone,0,14,66,14,65
34,car charger as well as ac charger are included to make sure you never run out of juicehighy recommended,1,19,104,19,103
35,you need at least 3 mins to get to your phone book from the time you first turn on the phonebattery life is short,0,24,115,24,113
36,it has kept up very well,1,6,25,6,24
37,poor talk time performance,0,4,27,4,26
38,the case is great and works fine with the 680,1,10,46,10,45
39,worthless product,0,2,18,2,17
40,it has a great camera thats 2mp and the pics are nice and clear with great picture quality,1,18,92,18,90
41,i was not impressed by this product,0,7,36,7,35
42,nice headset priced right,1,4,26,4,25
43,i only hear garbage for audio,0,6,30,6,29
44,excellent bluetooth headset,1,3,28,3,27
45,it has all the features i want,1,7,30,7,30
46,who in their right mind is gonna buy this battery,0,10,51,10,49
47,after arguing with verizon regarding the dropped calls we returned the phones after two days,0,15,93,15,92
48,this case seems well made,1,5,26,5,25
49,disappointed with battery,0,3,26,3,25
50,not loud enough and doesnt turn on like it should,0,10,51,10,49
51,good protection and does not make phone too bulky,1,9,50,9,49
52,a usable keyboard actually turns a pda into a realworld useful machine instead of just a neat gadget,1,18,102,18,100
53,this phone is pretty sturdy and ive never had any large problems with it,1,14,74,14,72
54,i love this thing,1,4,18,4,17
55,everything about it is fine and reasonable for the price ie,1,11,61,11,59
56,very disappointed,0,2,18,2,17
57,i even dropped this phone into a stream and it was submerged for 15 seconds and it still works great,1,20,101,20,100
58,i have been very happy with the 510 and have had no complaints from any one regarding my sound quality on their end,1,23,116,23,115
59,the buttons for on and off are bad,0,8,35,8,34
60,essentially you can forget microsofts tech support,0,7,52,7,50
61,i really recommend this faceplates since it looks very nice elegant and cool,1,13,78,13,76
62,these headphones were a great find  and i think they are perhaps the best purchase ive made in the last several years  seriously,1,25,132,23,128
63,buy a different phone  but not this,0,8,37,7,35
64,you have to hold the phone at a particular angle for the other party to hear you clearly,0,18,89,18,88
65,the one big drawback of the mp3 player is that the buttons on the phones front cover that let you pause and skip songs lock out after a few seconds,0,30,149,30,147
66,a week later after i activated it it suddenly died,0,10,52,10,50
67,it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes,1,18,103,18,102
68,great for ipods too,1,4,20,4,19
69,this device is great in several situations1,1,7,46,7,43
70,mic doesnt work,0,3,17,3,15
71,even in my bmw 3 series which is fairly quiet i have trouble hearing what the other person is saying,0,20,102,20,100
72,great choice,1,2,13,2,12
73,nice docking station for home or work,1,7,38,7,37
74,this is a beautiful phone,1,5,26,5,25
75,love this product,1,3,18,3,17
76,do not buy for d807wrongly advertised for d807,0,8,50,8,46
77,this is a great little item,1,6,28,6,27
78,i love this phone  it is very handy and has a lot of features ,1,16,64,14,62
79,i purchased this and within 2 days it was no longer working,0,12,68,12,59
80,i wear it everyday and it holds up very well,1,10,45,10,44
81,not a good bargain,0,4,19,4,18
82,well packaged arrived on time and works as intended,1,9,54,9,51
83,the battery runs down quickly,0,5,30,5,29
84,this item worked great but it broke after 6 months of use,0,12,59,12,57
85,the headsets are easy to use and everyone loves them,1,10,53,10,52
86,this phone works great,1,4,23,4,22
87,the construction of the headsets is poor,0,7,41,7,40
88,product was excellent and works better than the verizon one and boy was it cheaper,1,15,83,15,82
89,the phone loads super,1,4,22,4,21
90,for a product that costs as much as this one does i expect it to work far better and with greater ease than this thing does,0,26,125,26,123
91,made very sturdy,1,3,17,3,16
92,worked great,1,2,14,2,12
93,the ear buds only play music in one ear,0,9,40,9,39
94,dont waste your money,0,4,24,4,21
95,will order from them again,1,5,27,5,26
96,if you plan to use this in a car forget about it,0,12,49,12,48
97,i found this product to be waaay too big,0,9,41,9,40
98,best ive found so far  ive tried 2 other bluetooths and this one has the best quality for both me and the listener as well as ease of using,1,30,148,29,139
99,im very disappointed with my decision,0,6,39,6,37
100,integrated seamlessly with the motorola razr phone,1,7,51,7,50
101,buyer beware you could flush money right down the toilet,0,10,58,10,56
102,definitely a bargain,1,3,21,3,20
103,the price was very good and with the free shipping and all it was a good purchase,1,17,82,17,81
104,i received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger,0,20,113,20,112
105,prosgood camera  very nice pictures  also has cool styles like black and white and more,1,17,93,15,87
106,thats a huge design flaw unless im not using it correctly which i dont think is the case,0,18,95,18,88
107,i love my 350 headset my jabra350 bluetooth headset is great the reception is very good and the ear piece is a comfortable fit,1,24,130,24,126
108,the camera although rated at an impressive 13 megapixels renders images that fall well below expectations of such a relatively high resolution,0,22,146,22,142
109,i purcashed this for the car charger and it does not work,0,12,58,12,57
110,sound quality on both end is excellent i use headset to call my wife and ask my wife to use headset to call me 2,1,25,115,25,112
111,this phone is slim and light and the display is beautiful,1,11,58,11,57
112,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case,1,28,143,28,142
113,great product fast shipping,1,4,30,4,27
114,absolutely great,1,2,17,2,16
115,the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad,1,17,95,17,94
116,i got this phone around the end of may and im completely unhappy with it,0,15,74,15,72
117,it is very comfortable on the ear,1,7,34,7,33
118,it has been a winner for us,1,7,28,7,27
119,setup couldnt have been simpler,1,5,34,5,31
120,ive tried several different earpieces for my cell phone and this jabra one is the first one ive found that fits my ear comfortably,1,24,133,24,130
121,could not get strong enough signal,0,6,35,6,34
122,iam very pleased with my purchase,1,6,34,6,33
123,bad quality,0,2,12,2,11
124,gets the job done,1,4,18,4,17
125,great audio,1,2,13,2,11
126,basically the service was very bad,0,6,35,6,34
127,it did not work in my cell phone plug i am very up set with the charger,0,17,73,17,71
128,ive only had my bluetooth for a few weeks but i really like it,1,14,65,14,62
129,the bt headset was such a disapoinment,0,7,39,7,38
130,it is so small and you dont even realize that it is there after a while of getting used to it,1,21,95,21,93
131,the accompanied software is almost brilliant,1,6,45,6,44
132,headset works great  was packaged nicely to avoid any damage,1,11,62,10,60
133,i definitly recommend,1,3,24,3,21
134,buyerbe very careful,0,3,28,3,20
135,the majority of the logitech earbud headsets failed,0,8,52,8,51
136,very good stuff for the price,1,6,30,6,29
137,my headset works just peachykeen,1,5,34,5,32
138,in my house i was getting dropped coverage upstairs and no coverage in my basement,0,15,83,15,82
139,voice recognition is tremendous,1,4,32,4,31
140,what a waste,0,3,13,3,12
141,during several different 2 minute calls i experienced 5 drops and it was in an area that had 5 bars,0,20,101,20,99
142,i was not happy with this item,0,7,31,7,30
143,very disappointed,0,2,18,2,17
144,the phone takes forever to charge like 2 to 5 hours literally,0,12,62,12,61
145,i got this phone on reccomendation from a relative and im glad i did,1,14,70,14,68
146,what a waste of time,0,5,21,5,20
147,its reception is very very poor,0,6,32,6,31
148,items stated as included from the description are not included,0,10,63,10,62
149,after 3 months screen just went black all of a sudden,0,11,55,11,53
150,i was hoping for more,0,5,22,5,21
151,audio quality is poor very poor,0,6,33,6,31
152,i had absolutely no problem with this headset linking to my 8530 blackberry curve,1,14,82,14,81
153,i know that sounds funny but to me it seemed like sketchy technology that wouldnt work wellwell this one works great,1,21,121,21,116
154,ive bought 5 wired headphones that sound better than these,0,10,61,10,58
155,this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used,1,23,132,23,131
156,nice quality build unlike some cheap s out there,1,9,53,9,48
157,this item is fantastic and works perfectly,1,7,43,7,42
158,and i just love the colors,1,6,27,6,26
159,w810i is just superb,1,4,21,4,20
160,all i can do is whine on the internet so here it goesthe more i use the thing the less i like it,0,23,99,23,96
161,great charger,1,2,14,2,13
162,this is essentially a communications tool that does not communicate,0,10,68,10,67
163,works like a charm it work the same as the one i got with the phone,1,16,69,16,67
164,i still maintain that monkeys shouldnt make headphones we just obviously dont share enough dna to copy the design over to humans,0,22,132,22,128
165,great value,1,2,12,2,11
166,doesnt work at all i bougth it for my l7c and its not working,0,14,65,14,61
167,the look of it is very sharp and the screen is nice and clear with great graphics,1,17,83,17,81
168,doesnt last long,0,3,18,3,16
169,one thing i hate is the mode set button at the side,0,12,52,12,51
170,excellent service,1,2,26,2,17
171,thank you for wasting my money,0,6,31,6,30
172,how can that bethe audio quality is poor,0,8,42,8,40
173,the igo chargers and tips are really great,1,8,43,8,42
174,the file browser offers all the options that one needshandsfree is great,1,12,74,12,72
175,superb phone on a great network,1,6,32,6,31
176,i connected my wifes bluetoothmotorola hs850 to my phone and it worked like a charm whether the phone was in my pocket or the case,1,25,135,25,130
177,i put the latest os on it v115g and it now likes to slow to a crawl and lock up every once in a while,0,25,106,25,101
178,it only recognizes the phone as its storage device,0,9,51,9,50
179,if you like a loud buzzing to override all your conversations then this phone is for you,0,17,90,17,88
180,dont buy this product,0,4,23,4,21
181,ive had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear,0,21,109,21,107
182,the sound quality is good and functionality is awesome,1,9,55,9,54
183,i have this phone and it is a thorn in my side i really abhor it,0,16,66,16,64
184,i recently had problems where i could not stay connected for more than 10 minutes before being disconnected,0,18,108,18,107
185,incredible,1,1,12,1,10
186,design flaw,0,2,13,2,11
187,great phone,1,2,13,2,11
188,waste of 13 bucks,0,4,18,4,17
189,but when i check voice mail at night the keypad backlight turns off a few seconds into the first message and then im lost,0,24,125,24,121
190,the replacement died in a few weeks,0,7,36,7,35
191,any ring toneoverall good phone to buy,1,7,42,7,38
192,lately they have been extremely nice and helpful on the phone,1,11,62,11,61
193,i have had problems wit hit dropping signal and more,0,10,53,10,52
194,not impressed,0,2,14,2,13
195,light weight i hardly notice it is there,1,8,42,8,40
196,youll love how thin it is,1,6,27,6,25
197,bad choice,0,2,11,2,10
198,the pleather case doesnt fit,0,5,30,5,28
199,useless phone simply deaf,0,4,27,4,25
200,the color is even prettier than i thought it would be and the graphics are incredibly sharp,1,17,93,17,91
201,all in all i think it was a good investment,1,10,44,10,43
202,it makes very strange ticking noises before it ends the call,0,11,61,11,60
203,the best electronics of the available fm transmitters,1,8,54,8,53
204,battery lasts only a few hours,0,6,31,6,30
205,great headset very impressed  h500,1,6,37,5,34
206,the 12 mega pixel camera being a part of a phone is reasonably good7,1,14,74,14,68
207,ive had this for nearly 2 years and it has worked great for me,1,14,64,14,62
208,good transmit audio,1,3,20,3,19
209,we are sending it back,0,5,23,5,22
